파일명,카테고리,판정,사유,깃잡음,메치기시도,메치기기술,V넥,색상트림,전자호구,헤드기어,높은발차기,회전발차기,손기술중심,낮은자세손기술,깃형여밈,두꺼운캔버스,여밈,질의,메모
gear\pexels-27302387.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-29218252.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-29332767.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-3023670.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-31031033.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-31251577.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-31259205.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-31259219.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-31403621.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-34621803.jpg,gear,,,,,,,,,,,,,,,,,boxing headgear,
gear\pexels-4109759.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-4164506.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-4971298.jpg,gear,,,,,,,,,,,,,,,,,protective sports gear,
gear\pexels-5750879.jpg,gear,,,,,,,,,,,,,,,,,kick pad training,
gear\pexels-5999201.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-6005464.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-6005472.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-6253307.jpg,gear,,,,,,,,,,,,,,,,,martial arts belt,
gear\pexels-6253308.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-6295853.jpg,gear,,,,,,,,,,,,,,,,,sports mouthguard,
gear\pexels-6296102.jpg,gear,,,,,,,,,,,,,,,,,kick pad training,
gear\pexels-6296120.jpg,gear,,,,,,,,,,,,,,,,,kick pad training,
gear\pexels-6455249.jpg,gear,,,,,,,,,,,,,,,,,white martial arts uniform,
gear\pexels-6468600.jpg,gear,,,,,,,,,,,,,,,,,protective sports gear,
gear\pexels-6468604.jpg,gear,,,,,,,,,,,,,,,,,protective sports gear,
gear\pexels-6538995.jpg,gear,,,,,,,,,,,,,,,,,protective sports gear,
gear\pexels-6765099.jpg,gear,,,,,,,,,,,,,,,,,martial arts belt,
gear\pexels-6847592.jpg,gear,,,,,,,,,,,,,,,,,protective sports gear,
gear\pexels-7045447.jpg,gear,,,,,,,,,,,,,,,,,black belt close up,
gear\pexels-7045743.jpg,gear,,,,,,,,,,,,,,,,,martial arts belt,
gear\pexels-7282428.jpg,gear,,,,,,,,,,,,,,,,,folded uniform clothing,
gear\pexels-7988370.jpg,gear,,,,,,,,,,,,,,,,,martial arts belt,
gear\pexels-7991875.jpg,gear,,,,,,,,,,,,,,,,,kick pad training,
gear\pexels-7992151.jpg,gear,,,,,,,,,,,,,,,,,kick pad training,
gear\pexels-8464554.jpg,gear,,,,,,,,,,,,,,,,,protective sports gear,
gear\pexels-8464566.jpg,gear,,,,,,,,,,,,,,,,,protective sports gear,
gear\pexels-8612011.jpg,gear,,,,,,,,,,,,,,,,,martial arts belt,
kids\pexels-10355223.jpg,kids,,,,,,,,,,,,,,,,,kids martial arts class,
kids\pexels-10355225.jpg,kids,,,,,,,,,,,,,,,,,children taekwondo,
kids\pexels-10475538.jpg,kids,,,,,,,,,,,,,,,,,kids sports team,
kids\pexels-15937426.jpg,kids,,,,,,,,,,,,,,,,,child white uniform training,
kids\pexels-19437725.jpg,kids,,,,,,,,,,,,,,,,,kids martial arts class,
kids\pexels-20508795.jpg,kids,,,,,,,,,,,,,,,,,child white uniform training,
kids\pexels-26283685.jpg,kids,,,,,,,,,,,,,,,,,kids sports team,
kids\pexels-30777332.jpg,kids,,,,,,,,,,,,,,,,,children taekwondo,
kids\pexels-30788996.jpg,kids,,,,,,,,,,,,,,,,,youth martial arts practice,
kids\pexels-39117589.jpg,kids,,,,,,,,,,,,,,,,,children taekwondo,
kids\pexels-5635588.jpg,kids,,,,,,,,,,,,,,,,,children exercise class,
kids\pexels-5999191.jpg,kids,,,,,,,,,,,,,,,,,kids martial arts class,
kids\pexels-5999200.jpg,kids,,,,,,,,,,,,,,,,,child white uniform training,
kids\pexels-6713390.jpg,kids,,,,,,,,,,,,,,,,,children exercise class,
kids\pexels-6715766.jpg,kids,,,,,,,,,,,,,,,,,children exercise class,
kids\pexels-6716659.jpg,kids,,,,,,,,,,,,,,,,,children exercise class,
kids\pexels-7045373.jpg,kids,,,,,,,,,,,,,,,,,children taekwondo,
kids\pexels-7045375.jpg,kids,,,,,,,,,,,,,,,,,youth martial arts practice,
kids\pexels-7045408.jpg,kids,,,,,,,,,,,,,,,,,youth martial arts practice,
kids\pexels-7045505.jpg,kids,,,,,,,,,,,,,,,,,youth martial arts practice,
kids\pexels-7045515.jpg,kids,,,,,,,,,,,,,,,,,youth martial arts practice,
kids\pexels-7045553.jpg,kids,,,,,,,,,,,,,,,,,children taekwondo,
kids\pexels-7045561.jpg,kids,,,,,,,,,,,,,,,,,kids martial arts class,
